,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
13,1958,TRON,TRX,tron,619,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'bnb-chain']",,92537860058.77217,92537857382.65309,,14,71659659264.0,5374816928.087264,2022-06-13T01:12:00.000Z,0.07500477930387588,1031642610.8412979,33.4278,-1.61942373,-1.47101777,-8.33911755,0.19331392,21.64049863,25.0203628,6940781770.961157,0.6547,6940781570.24,2022-06-13T01:12:00.000Z,,,,,,2022-06-13 01:14:07.828568
14,3957,UNUS SED LEO,LEO,unus-sed-leo,19,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,953954130.0,985239504.0,,15,,,2022-06-13T01:12:00.000Z,5.286379857078803,7023922.98376406,5.125,-3.85872872,-3.74298239,4.04811468,4.81707557,-7.24087251,-9.8725568,5042963897.409134,0.4757,5208350268.34,2022-06-13T01:12:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2022-06-13 01:14:07.828568
0,1,Bitcoin,BTC,bitcoin,9528,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19065843.0,19065843.0,,1,,,2022-06-13T00:10:00.000Z,26662.449169274132,35023994462.79173,28.3003,-1.41358013,-6.40360146,-10.97058408,-9.2067689,-35.22721846,-32.80958468,508342069856.861,47.1455,559911432554.76,2022-06-13T00:10:00.000Z,,,,,,2022-06-13 12:12:43.347600
1,1027,Ethereum,ETH,ethereum,5745,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121149272.3115,121149272.3115,,2,,,2022-06-13T00:09:00.000Z,1437.090876067914,23539016419.71116,11.631,-1.52932531,-6.39041519,-20.4892504,-28.73865534,-53.92033142,-44.52824989,174102513881.1238,16.1469,174102513881.12,2022-06-13T00:09:00.000Z,,,,,,2022-06-13 12:12:43.347600
2,825,Tether,USDT,tether,34604,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,72494981446.97955,79710622658.24379,,3,,,2022-06-13T00:09:00.000Z,0.9990285735341753,59699779625.72347,22.8305,-0.00062721,-0.00878511,-0.02667332,0.07837244,-0.12802158,-0.11581465,72424557903.36249,6.7169,79633189649.79,2022-06-13T00:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-06-13 12:12:43.347600
3,3408,USD Coin,USDC,usd-coin,4387,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,53991679227.67649,53991679227.67649,,4,,,2022-06-13T00:09:00.000Z,1.000181710939048,6042135238.546715,26.4456,-0.03862565,-0.01769332,-0.00317234,-0.04392503,0.03696076,0.01834772,54001490106.40974,5.0083,54001490106.41,2022-06-13T00:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-13 12:12:43.347600
4,1839,BNB,BNB,bnb,947,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",165116760.0,163276974.63,163276974.63,,5,,,2022-06-13T00:09:00.000Z,255.23739875289436,1387326662.3729699,13.9246,-1.2046458,-5.57695757,-14.85782637,-12.23211564,-39.79811797,-31.71426871,41674390280.80353,3.865,42143972312.91,2022-06-13T00:09:00.000Z,,,,,,2022-06-13 12:12:43.347600
5,4687,Binance USD,BUSD,binance-usd,3834,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,17742539878.399254,17742539878.399254,,6,,,2022-06-13T00:10:00.000Z,1.0006151501196296,5737983764.022413,32.2672,0.13955072,-0.0270033,-0.18159734,-0.12906178,0.15939061,0.02206712,17753454203.927986,1.6465,17753454203.93,2022-06-13T00:10:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-06-13 12:12:43.347600
6,52,XRP,XRP,xrp,737,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48343101197.0,99989535142.0,,7,,,2022-06-13T00:10:00.000Z,0.3451111860603051,1382741037.7277691,23.971,-1.41544966,-4.39556597,-12.6617765,-18.65782504,-52.2984369,-55.46120514,16683744991.930025,1.5473,34511118606.03,2022-06-13T00:10:00.000Z,1839.0,BNB,BNB,bnb,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,2022-06-13 12:12:43.347600
7,2010,Cardano,ADA,cardano,455,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33752565071.288,34512850428.993,,8,,,2022-06-13T00:09:00.000Z,0.4917459498207772,1484567723.0165458,20.7105,-3.2374493,-11.50500926,-13.30620709,-7.85063063,-49.48404283,-38.83003843,16597687169.868105,1.5393,22128567741.93,2022-06-13T00:09:00.000Z,1839.0,BNB,BNB,bnb,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,2022-06-13 12:12:43.347600
